ibge_id;size
1100015;7067
1100023;4427
1100031;1314
1100049;3793
1100056;2783
1100064;1451
1100072;3060
1100080;4987
1100098;4518
1100106;24856
1100114;2944
1100122;6897
1100130;8509
1100148;1703
1100155;1970
1100189;6241
1100205;34091
1100254;1758
1100262;1718
1100288;1458
1100296;1198
1100304;11699
1100320;7460
1100338;10072
1100346;3029
1100379;3958
1100403;2652
1100452;3266
1100502;843
1100601;1962
1100700;3442
1100809;6844
1100908;893
1100924;5127
1100940;3864
1101005;5067
1101104;4082
1101203;798
1101302;1192
1101401;1931
1101435;807
1101450;2549
1101468;6015
1101476;606
1101484;542
1101492;10960
1101500;3774
1101559;460
1101609;2197
1101708;832
1101757;3135
1101807;966
1200013;1808
1200054;4974
1200104;3917
1200138;3035
1200179;1702
1200203;8779
1200252;1655
1200302;27975
1200328;5357
1200336;5453
1200344;10633
1200351;8192
1200385;1944
1200393;6444
1200401;8835
1200427;3077
1200435;6146
1200450;2322
1200500;23753
1200609;20171
1200708;5347
1200807;2605
1300029;5923
1300060;4754
1300086;2446
1300102;6036
1300144;54241
1300201;76435
1300300;7653
1300409;122461
1300508;5752
1300607;8695
1300631;17473
1300680;2589
1300706;21939
1300805;44236
1300839;9456
1300904;33643
1301001;25779
1301100;6096
1301159;2627
1301209;57971
1301308;18701
1301407;14966
1301506;7506
1301605;12155
1301654;7584
1301704;33111
1301803;12110
1301852;2217
1301902;8892
1301951;25260
1302009;4335
1302108;55827
1302207;19443
1302306;69457
1302405;68263
1302504;7337
1302553;3973
1302603;11401
1302702;48315
1302801;16831
1302900;39991
1303007;14107
1303106;5578
1303205;37777
1303304;41180
1303403;5956
1303502;41625
1303536;25459
1303569;5816
1303601;62800
1303700;12366
1303809;109181
1303908;19659
1303957;10647
1304005;3723
1304062;3266
1304104;84946
1304203;23692
1304237;6447
1304260;10275
1304302;27902
1304401;2886
1400027;28473
1400050;25454
1400100;5687
1400159;8080
1400175;7665
1400209;47380
1400233;12066
1400282;14012
1400308;12338
1400407;6960
1400456;8025
1400472;33580
1400506;4285
1400605;1527
1400704;8114
1500107;1611
1500131;614
1500206;4344
1500305;8338
1500347;7114
1500404;23645
1500503;72955
1500602;159533
1500701;6914
1500800;191
1500859;11895
1500909;1100
1500958;1812
1501006;17074
1501105;4397
1501204;3760
1501253;2957
1501303;1310
1501402;1059
1501451;4398
1501501;188
1501576;2817
1501600;587
1501709;2125
1501725;6363
1501758;1288
1501782;3942
1501808;9567
1501907;995
1501956;2420
1502004;3100
1502103;3081
1502152;3147
1502202;621
1502301;2901
1502400;1029
1502509;12535
1502608;384
1502707;5829
1502756;701
1502764;17085
1502772;2369
1502806;3617
1502855;1431
1502905;676
1502939;5269
1502954;2957
1503002;11772
1503044;3444
1503077;1608
1503093;7024
1503101;8570
1503200;786
1503309;1997
1503408;473
1503457;5216
1503507;1385
1503606;62042
1503705;7880
1503754;53305
1503804;2008
1503903;8305
1504000;1490
1504059;469
1504109;324
1504208;15128
1504307;808
1504406;805
1504422;103
1504455;8273
1504505;6774
1504604;871
1504703;9094
1504752;4988
1504802;18153
1504901;3763
1504950;2808
1504976;1564
1505007;490
1505031;38162
1505064;15399
1505106;28011
1505205;3852
1505304;107614
1505403;562
1505437;14411
1505486;11832
1505494;984
1505502;19343
1505536;6886
1505551;1671
1505601;450
1505635;3313
1505650;7173
1505700;3364
1505809;25385
1505908;17423
1506005;14787
1506104;259
1506112;303
1506138;3824
1506161;4115
1506187;8246
1506195;7021
1506203;226
1506302;919
1506351;278
1506401;1077
1506500;718
1506559;1347
1506583;10330
1506609;458
1506708;11591
1506807;17898
1506906;230
1507003;538
1507102;464
1507151;1392
1507201;1687
1507300;84213
1507409;479
1507458;3168
1507466;196
1507474;668
1507508;1280
1507607;1095
1507706;1632
1507755;1298
1507805;14420
1507904;2857
1507953;4430
1507961;205
1507979;1896
1508001;5145
1508035;868
1508050;11991
1508084;2513
1508100;2084
1508126;5088
1508159;10791
1508209;402
1508308;4973
1508357;3090
1508407;3779
1600055;7713
1600105;8455
1600154;9622
1600204;14117
1600212;2179
1600238;4974
1600253;1623
1600279;30783
1600303;6564
1600402;13295
1600501;23034
1600535;4428
1600550;4949
1600600;1541
1600709;6685
1600808;2509
1700251;1896
1700301;237
1700350;1572
1700400;4019
1700707;1212
1701002;1577
1701051;449
1701101;1155
1701309;1165
1701903;2778
1702000;5176
1702109;4005
1702158;836
1702208;2622
1702307;1556
1702406;5805
